Drain_contact TotalCurrent(mosfet_30nm_ldd_def) X,Drain_contact TotalCurrent(mosfet_30nm_ldd_def) Y
0,3.38543e-25
0,4.33331e-07
0.0018,4.43891e-07
0.0037704,4.55744e-07
0.00593259,4.6911e-07
0.00830522,4.84223e-07
0.0109088,5.01359e-07
0.0137658,5.20851e-07
0.0169009,5.43099e-07
0.0203411,5.68586e-07
0.0241161,5.97904e-07
0.0282586,6.31778e-07
0.0328044,6.71105e-07
0.0377925,7.17003e-07
0.0432662,7.70875e-07
0.0492726,8.34497e-07
0.0558637,9.10134e-07
0.0630963,1.0007e-06
0.0710329,1.10997e-06
0.0797419,1.24289e-06
0.0892987,1.40599e-06
0.0997856,1.60792e-06
0.111293,1.8603e-06
0.123921,2.17877e-06
0.137778,2.5845e-06
0.152983,3.10626e-06
0.169669,3.78307e-06
0.187979,4.66771e-06
0.20807,5.83087e-06
0.230118,7.36586e-06
0.254311,9.3932e-06
0.280795,1.20569e-05
0.309786,1.55344e-05
0.341521,2.00301e-05
0.37626,2.57705e-05
0.414288,3.29961e-05
0.455917,4.19545e-05
0.501486,5.28946e-05
0.551368,6.60645e-05
0.605973,8.17119e-05
0.665748,0.000100086
0.731181,0.000121443
0.802808,0.000146044
0.881216,0.000174166
0.967047,0.000206096
1.05705,0.000240601
1.14705,0.000275935
1.23705,0.000311923
1.32705,0.000348425
1.41705,0.000385328
1.50705,0.000422538
1.59705,0.000459976
1.68705,0.000497577
1.77705,0.000535282
1.8,0.000544909

