Drain_contact TotalCurrent(bitchin_transistor_2_def) X,Drain_contact TotalCurrent(bitchin_transistor_2_def) Y
0,-1.56335e-24
0,1.40824e-11
0.0018,1.45821e-11
0.0037704,1.51494e-11
0.00593784,1.5799e-11
0.00831624,1.65438e-11
0.0109261,1.74015e-11
0.0137901,1.83938e-11
0.0169328,1.95478e-11
0.0203813,2.08975e-11
0.0241656,2.24857e-11
0.0283182,2.43674e-11
0.0328749,2.66136e-11
0.0378752,2.93166e-11
0.0433622,3.25989e-11
0.0493832,3.66238e-11
0.0559903,4.16129e-11
0.0632405,4.78704e-11
0.0711963,5.58213e-11
0.0799265,6.6068e-11
0.0895065,7.94803e-11
0.100019,9.73377e-11
0.111555,1.21561e-10
0.124213,1.55097e-10
0.138104,2.02576e-10
0.153346,2.71454e-10
0.170072,3.74084e-10
0.188426,5.31525e-10
0.208518,7.80126e-10
0.230512,1.18609e-09
0.254587,1.87363e-09
0.280942,3.08491e-09
0.309792,5.31154e-09
0.341373,9.59568e-09
0.375944,1.82486e-08
0.413787,3.664e-08
0.455213,7.78303e-08
0.500561,1.74919e-07
0.550201,4.14137e-07
0.604541,1.01906e-06
0.664024,2.52875e-06
0.729139,6.01769e-06
0.800245,1.29902e-05
0.878082,2.48151e-05
0.963287,4.22319e-05
1.05329,6.46032e-05
1.14329,9.00191e-05
1.23329,0.000117698
1.32329,0.000147081
1.41329,0.000177765
1.50329,0.000209452
1.59329,0.000241912
1.68329,0.000274968
1.77329,0.000308477
1.8,0.000318492

