Drain_contact TotalCurrent(mosfet_40nm_gate_def) X,Drain_contact TotalCurrent(mosfet_40nm_gate_def) Y
0,4.49546e-22
0,2.35488e-09
0.0018,2.42737e-09
0.0037704,2.5093e-09
0.00593259,2.60239e-09
0.00830522,2.70852e-09
0.0109088,2.82997e-09
0.0137658,2.96953e-09
0.0169009,3.1306e-09
0.0203411,3.31743e-09
0.0241161,3.5353e-09
0.0282586,3.79087e-09
0.0328044,4.09263e-09
0.0377925,4.45146e-09
0.0432662,4.88149e-09
0.0492726,5.40128e-09
0.0558637,6.03548e-09
0.0630963,6.81726e-09
0.0710329,7.79187e-09
0.0797419,9.02195e-09
0.0892987,1.05956e-08
0.0997856,1.26386e-08
0.111293,1.53342e-08
0.123921,1.89541e-08
0.137778,2.39098e-08
0.152983,3.08374e-08
0.169669,4.07447e-08
0.187934,5.52253e-08
0.207928,7.69414e-08
0.229816,1.10413e-07
0.253775,1.63516e-07
0.280002,2.50315e-07
0.308712,3.96507e-07
0.34014,6.49807e-07
0.374543,1.09933e-06
0.412202,1.90922e-06
0.453427,3.36869e-06
0.498555,5.94403e-06
0.547955,1.02885e-05
0.602031,1.71622e-05
0.661226,2.72874e-05
0.726026,4.12418e-05
0.796959,5.94485e-05
0.874608,8.22291e-05
0.959607,0.000109863
1.04961,0.000141524
1.13961,0.000175122
1.22961,0.000210257
1.31961,0.000246631
1.40961,0.000284019
1.49961,0.000322244
1.58961,0.000361166
1.67961,0.000400673
1.76961,0.000440672
1.8,0.000454278

